pv_mult,status,welfare,exact_maxgap,welfare_delta_vs_baseline
0.0,ok,-4830.13249588798,1.6961228724892883e-9,0.0
0.5,ok,-4826.027699852469,1.6166337033492654e-9,4.104796035511754
1.0,ok,-4823.30851835154,2.1500149612879303e-8,6.8239775364399975
1.5,ok,-4822.041726353134,7.342277141962576e-9,8.090769534846004
2.0,ok,-4821.028192503456,1.1208813416691176e-8,9.104303384524428
2.5,ok,-4820.081071599052,7.427853903222838e-9,10.051424288928501
