seed_variant,cost,max_abs_dadp_dev
1,-922.9416693226153,0.0
2,-922.9416689384499,1.0506617220684689e-7
3,-922.9416693226153,0.0
4,-922.9416693226153,0.0
5,-922.9416689384499,1.0506617220684689e-7
