vmax,load_scale,pv_scale,status,objective,maxgap,maxratio,n_at_vmax,min_branch_P,vpeak,exact,class,fail_reason
1.1,0.15,1.6,SOLVED,-890.5019406508419,10.430075039554108,9195.969300529141,4,-1.8997463912447456,1.0999999999737065,false,inexact,
1.1,0.15,2.0,SOLVED,-873.3641289322378,15.498378527468429,9302.432154734257,5,-2.1643403425423293,1.0999999998520567,false,inexact,
1.1,0.2,0.3,SOLVED,-972.1423233827898,1.5562914866160907e-8,0.014949136759715976,0,-0.27373304172924584,1.0144550391486642,true,exact,
1.1,0.2,0.5,SOLVED,-959.2016318360538,2.8677624719364303e-9,0.0026097123727650976,0,-0.620829160081764,1.039863878374422,true,exact,
1.1,0.2,0.7,SOLVED,-946.5907639997092,5.870430919152625e-9,0.004547380797140553,0,-0.9515515077844008,1.0635810742476453,true,exact,
1.1,0.2,0.9,SOLVED,-934.2727732796392,8.824417047775812e-9,0.0059974331922306,0,-1.2706498934796127,1.0860575172724558,true,exact,
1.1,0.2,1.0,SOLVED,-928.2170571024521,6.305371365658563e-9,0.004496900699994921,0,-1.4261585353615818,1.096870067752513,true,exact,
1.1,0.2,1.1,SOLVED,-922.3362220619615,0.0005134140954156097,8.448400904494978,1,-1.4746299637277704,1.0999999998578545,false,inexact,
1.1,0.2,1.2,SOLVED,-916.8308528038046,1.959399053167617,7555.1760937096615,1,-1.5569983863974641,1.0999999998821275,false,inexact,
1.1,0.2,1.4,SOLVED,-906.3220879696817,5.8338511354517895,8883.194960289731,2,-1.7223876388174113,1.0999999999072954,false,inexact,
1.1,0.2,1.6,SOLVED,-896.4029732520512,9.548397635437917,9141.641047684348,3,-1.8802048813141485,1.0999999999467123,false,inexact,
1.1,0.2,2.0,SOLVED,-878.7806668154511,15.372978970253232,9262.140628016172,5,-2.1605751678342435,1.0999999998673384,false,inexact,
1.1,0.3,0.3,SOLVED,-986.5680795373183,6.31490133795598e-9,0.004698728435610457,0,-0.13308377995434595,1.0009462233828619,true,exact,
1.1,0.3,0.5,SOLVED,-973.4128229365447,1.9916017016119447e-8,0.017979033247418782,0,-0.48608103205172554,1.0270943220515005,true,exact,
1.1,0.3,0.7,SOLVED,-960.6133209055581,2.3354058254973498e-8,0.01871079875991319,0,-0.8238264891609766,1.0515804592352935,true,exact,
1.1,0.3,0.9,SOLVED,-948.1247158867201,1.0603923294993933e-9,0.0008498848525364438,0,-1.1471817765934635,1.0745831093660831,true,exact,
1.1,0.3,1.0,SOLVED,-941.9884405364787,2.5720403953356785e-9,0.0018929477805808314,0,-1.304765791011332,1.0856454288348099,true,exact,
1.1,0.3,1.1,SOLVED,-935.9208286175596,2.8135766777384955e-8,0.024039279244993283,0,-1.4597577814189517,1.0964356814810108,true,exact,
1.1,0.3,1.2,SOLVED,-930.0310079946647,0.11522464343504402,1503.4699927235051,1,-1.5153955288044465,1.0999999999829655,false,inexact,
1.1,0.3,1.4,SOLVED,-919.0500723132114,3.979413403100402,8447.85121552092,1,-1.6781041005894863,1.099999999845486,false,inexact,
1.1,0.3,1.6,SOLVED,-908.796558221714,7.767233552323309,8990.650314526029,2,-1.8401445249347739,1.099999999952079,false,inexact,
1.1,0.3,2.0,SOLVED,-890.1424835597961,15.11441726760806,9175.581615950032,4,-2.152137264461642,1.0999999999815093,false,inexact,
1.1,0.4,0.3,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,0.5,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,0.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,0.9,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,1.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,1.1,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,1.2,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,1.4,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,1.6,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.1,0.4,2.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
