source,probability,hour,dadp
default,NaN,1,3.8176352075863837
default,NaN,2,3.736654919925118
default,NaN,3,3.602407487908135
default,NaN,4,0.3247228206600882
default,NaN,5,0.26573963483517654
default,NaN,6,0.24828009081678373
default,NaN,7,4.818611729263865
default,NaN,8,5.925180435174391
default,NaN,9,6.633049475340518
stoch_1,0.05,1,3.817309911713244
stoch_1,0.05,2,3.732683736846426
stoch_1,0.05,3,3.5824836023264854
stoch_1,0.05,4,0.3283802375184203
stoch_1,0.05,5,0.2645949730495233
stoch_1,0.05,6,0.22021157750804807
stoch_1,0.05,7,4.84301527564134
stoch_1,0.05,8,5.90715989607897
stoch_1,0.05,9,6.614340207525934
stoch_2,0.15,1,3.8173099485992052
stoch_2,0.15,2,3.739836801755505
stoch_2,0.15,3,3.563941835105577
stoch_2,0.15,4,0.33003532772852834
stoch_2,0.15,5,0.28397831334533824
stoch_2,0.15,6,0.23440070577272595
stoch_2,0.15,7,4.855350709693233
stoch_2,0.15,8,5.907122283629372
stoch_2,0.15,9,6.581860001974702
stoch_3,0.3,1,3.8173099614762203
stoch_3,0.3,2,3.7326126983310703
stoch_3,0.3,3,3.57055810548586
stoch_3,0.3,4,0.32610369656221594
stoch_3,0.3,5,0.276993658077435
stoch_3,0.3,6,0.24252718208786916
stoch_3,0.3,7,4.774131325838588
stoch_3,0.3,8,5.94390652972122
stoch_3,0.3,9,6.614915188540941
stoch_4,0.3,1,3.817309961532
stoch_4,0.3,2,3.740008639744856
stoch_4,0.3,3,3.5758234093186134
stoch_4,0.3,4,0.33851333549293317
stoch_4,0.3,5,0.26323494894026644
stoch_4,0.3,6,0.2168195722793529
stoch_4,0.3,7,4.72795365346559
stoch_4,0.3,8,5.9131460913290645
stoch_4,0.3,9,6.614306535986789
stoch_5,0.2,1,3.8173099542638327
stoch_5,0.2,2,3.7399335254317765
stoch_5,0.2,3,3.575073072050142
stoch_5,0.2,4,0.32772857465443733
stoch_5,0.2,5,0.26771658738373594
stoch_5,0.2,6,0.2367705126880002
stoch_5,0.2,7,4.851146794810922
stoch_5,0.2,8,5.913160800016253
stoch_5,0.2,9,6.614861911069127
expected,NaN,1,3.8173099556307752
expected,NaN,2,3.73738281361478
expected,NaN,3,3.5726445242335316
expected,NaN,4,0.33085513558263246
expected,NaN,5,0.2714383952363345
expected,NaN,6,0.23132881358907792
expected,NaN,7,4.79130822298949
expected,NaN,8,5.92117428366669
expected,NaN,9,6.609734910244645
