draw,welfare,infeasible
1,-538.6314501087838,false
2,-538.7190109925018,false
3,-538.8153851309131,false
4,-538.7416816465059,false
5,-538.6974727232199,false
6,-538.8066048916135,false
7,-538.76933170873,false
8,-538.7992356431491,false
9,-538.669338991255,false
10,-538.8729632330941,false
